World Rank,Institution Name,Location,Score,Domain
350,Hannover Medical School,Germany,75.6,mh-hannover.de
351,Griffith University,Australia,75.6,griffith.edu.au
352,"University at Albany, SUNY",USA,75.6,albany.edu
353,University of Giessen,Germany,75.6,uni-giessen.de
354,Drexel University,USA,75.6,drexel.edu
355,Aalto University,Finland,75.6,aalto.fi
356,Pompeu Fabra University,Spain,75.5,upf.edu
357,Linköping University,Sweden,75.5,liu.se
358,City University of Hong Kong,Hong Kong,75.5,cityu.edu.hk
359,University of the Basque Country,Spain,75.5,ehu.eus
360,University of Campinas,Brazil,75.5,unicamp.br
361,"Soochow University, China",China,75.5,suda.edu.cn
362,Kansas State University,USA,75.5,k-state.edu
363,University of Victoria,Canada,75.4,uvic.ca
364,Polytechnic University of Milan,Italy,75.4,polimi.it
365,University of Oulu,Finland,75.4,oulu.fi
366,University of Pavia,Italy,75.4,unipv.eu
367,Southeast University,China,75.4,seu.edu.cn
368,Swedish University of Agricultural Sciences,Sweden,75.4,slu.se
369,Xiamen University,China,75.4,xmu.edu.cn
370,University of Ljubljana,Slovenia,75.3,uni-lj.si
371,Islamic Azad University,Iran,75.3,iau.ac.ir
372,"UNESP, São Paulo State University",Brazil,75.3,unesp.br
373,University of New Hampshire,USA,75.3,unh.edu
374,Medical College of Wisconsin,USA,75.3,mcw.edu
375,Aristotle University of Thessaloniki,Greece,75.3,auth.gr
376,University of Vermont,USA,75.3,uvm.edu
377,Hiroshima University,Japan,75.2,hiroshima-u.ac.jp
378,National Tsing Hua University,Taiwan,75.2,nthu.edu.tw
379,Eindhoven University of Technology,Netherlands,75.2,tue.nl
380,University of Marburg,Germany,75.2,uni-marburg.de
381,Jagiellonian University,Poland,75.2,uj.edu.pl
382,Pusan National University,South Korea,75.2,pusan.ac.kr
383,Beijing Normal University,China,75.2,bnu.edu.cn
384,University of Chile,Chile,75.1,uchile.cl
385,Kyung Hee University,South Korea,75.1,khu.ac.kr
386,Lancaster University,United Kingdom,75.1,lancaster.ac.uk
387,Deakin University,Australia,75.1,deakin.edu.au
388,York University,Canada,75.1,yorku.ca
389,Okayama University,Japan,75.1,okayama-u.ac.jp
390,James Cook University,Australia,75.1,jcu.edu.au
391,University of Bath,United Kingdom,75.1,bath.ac.uk
392,University of Trieste,Italy,75.0,units.it
393,"University of Oklahoma, Norman",USA,75.0,ou.edu
394,Ben-Gurion University of the Negev,Israel,75.0,bgu.ac.il
395,University of Twente,Netherlands,75.0,utwente.nl
396,China Agricultural University,China,75.0,cau.edu.cn
397,University of Wollongong,Australia,75.0,uow.edu.au
398,Federal University of Rio Grande do Sul,Brazil,75.0,ufrgs.br
399,University of Tasmania,Australia,75.0,utas.edu.au
400,Curtin University,Australia,74.9,curtin.edu.au
401,TU Wien,Austria,74.9,tuwien.ac.at
402,University of KwaZulu-Natal,South Africa,74.9,ukzn.ac.za
403,University of Coimbra,Portugal,74.9,uc.pt
404,University of Milano-Bicocca,Italy,74.9,unimib.it
405,University of Louisville,USA,74.9,louisville.edu
406,Federal University of Minas Gerais,Brazil,74.9,ufmg.br
407,University of Reading,United Kingdom,74.8,reading.ac.uk
408,Kyungpook National University,South Korea,74.8,knu.ac.kr
409,University of Rennes 1,France,74.8,univ-rennes1.fr
410,Technical University of Berlin,Germany,74.8,tu-berlin.de
411,University of Saskatchewan,Canada,74.8,usask.ca
412,Martin Luther University of Halle-Wittenberg,Germany,74.8,uni-halle.de
413,Eötvös Loránd University,Hungary,74.8,elte.hu
414,University of Seville,Spain,74.8,us.es
415,Polytechnic University of Catalonia,Spain,74.7,upc.edu
416,Catholic University of the Sacred Heart,Italy,74.7,ucsc.it
417,University of Konstanz,Germany,74.7,uni-konstanz.de
418,University of Eastern Finland,Finland,74.7,uef.fi
419,École normale supérieure de Lyon,France,74.7,ens-lyon.fr
420,Indian Institute of Science,India,74.7,iisc.ac.in
421,King Saud University,Saudi Arabia,74.7,ksu.edu.sa
422,Scuola Normale Superiore,Italy,74.7,sns.it
423,University of Bremen,Germany,74.6,uni-bremen.de
424,University of Strathclyde,United Kingdom,74.6,strath.ac.uk
425,University of Newcastle,Australia,74.6,newcastle.edu.au
426,University of Santiago de Compostela,Spain,74.6,usc.es
427,National Chiao Tung University,Taiwan,74.6,nctu.edu.tw
428,University of Oregon,USA,74.6,uoregon.edu
429,Tulane University,USA,74.6,tulane.edu
430,Rensselaer Polytechnic Institute,USA,74.6,rpi.edu
431,University of Bari,Italy,74.5,uniba.it
432,Chonnam National University,South Korea,74.5,jnu.ac.kr
433,Capital Medical University,China,74.5,ccmu.edu.cn
434,King Abdullah University of Science and Technology,Saudi Arabia,74.5,kaust.edu.sa
435,Rush University,USA,74.5,rushu.rush.edu
436,INSEAD,France,74.5,insead.edu
437,Texas Tech University,USA,74.5,ttu.edu
438,University of Pretoria,South Africa,74.5,up.ac.za
439,New University of Lisbon,Portugal,74.4,unl.pt
440,University of Oviedo,Spain,74.4,uniovi.es
441,Saint Louis University,USA,74.4,slu.edu
442,Federal University of São Paulo,Brazil,74.4,unifesp.br
443,Vita-Salute San Raffaele University,Italy,74.4,unisr.it
444,University of Ulsan,South Korea,74.4,ulsan.ac.kr
445,University of Siena,Italy,74.4,unisi.it
446,University of La Laguna,Spain,74.4,ull.es
447,University of Nice Sophia Antipolis,France,74.4,unice.fr
448,Stellenbosch University,South Africa,74.3,sun.ac.za
449,University of Zaragoza,Spain,74.3,unizar.es
450,University of Canterbury,New Zealand,74.3,canterbury.ac.nz
451,University of Malaya,Malaysia,74.3,um.edu.my
452,Cairo University,Egypt,74.3,cu.edu.eg
453,Aalborg University,Denmark,74.3,aau.dk
454,University of Bordeaux,France,74.3,u-bordeaux.fr
455,University of Central Florida,USA,74.3,ucf.edu
456,University of Ferrara,Italy,74.2,unife.it
457,TU Darmstadt,Germany,74.2,tu-darmstadt.de
458,University of Savoy,France,74.2,univ-smb.fr
459,University of Mississippi,USA,74.2,olemiss.edu
460,Lanzhou University,China,74.2,lzu.edu.cn
461,University of Tehran,Iran,74.2,ut.ac.ir
462,University of Modena and Reggio Emilia,Italy,74.2,unimore.it
463,University of Zagreb,Croatia,74.2,unizg.hr
464,Chalmers University of Technology,Sweden,74.2,chalmers.se
465,China University of Geosciences,China,74.1,cug.edu.cn & cugb.edu.cn
466,Medical University of Innsbruck,Austria,74.1,i-med.ac.at
467,National Yang-Ming University,Taiwan,74.1,ym.edu.tw
468,University of Sherbrooke,Canada,74.1,usherbrooke.ca
469,University of Texas Medical Branch,USA,74.1,utmb.edu
470,University of Verona,Italy,74.1,univr.it
471,Mahidol University,Thailand,74.1,mahidol.ac.th
472,Polytechnic University of Valencia,Spain,74.1,upv.es
473,University College Cork,Ireland,74.1,ucc.ie
474,University of Hanover,Germany,74.0,uni-hannover.de
475,University of Parma,Italy,74.0,unipr.it
476,University of Iceland,Iceland,74.0,hi.is
477,University of Bayreuth,Germany,74.0,uni-bayreuth.de
478,West Virginia University,USA,74.0,wvu.edu
479,University of Trento,Italy,74.0,unitn.it
480,Georgia State University,USA,74.0,gsu.edu
481,Southern Methodist University,USA,74.0,smu.edu
482,Chiba University,Japan,74.0,chiba-u.ac.jp
483,University of Nebraska Medical Center,USA,73.9,unmc.edu
484,University of Electronic Science and Technology of China,China,73.9,uestc.edu.cn
485,Beihang University,China,73.9,buaa.edu.cn
486,San Diego State University,USA,73.9,sdsu.edu
487,AgroParisTech,France,73.9,agroparistech.fr
488,Chulalongkorn University,Thailand,73.9,chula.ac.th
489,University of Tromsø – The Arctic University of Norway,Norway,73.9,uit.no
490,University of Tartu,Estonia,73.9,ut.ee
491,University of Alabama - Tuscaloosa,USA,73.9,ua.edu
492,Bar-Ilan University,Israel,73.8,biu.ac.il
493,Flinders University,Australia,73.8,flinders.edu.au
494,Saarland University,Germany,73.8,uni-saarland.de
495,Clemson University,USA,73.8,clemson.edu
496,Hunan University,China,73.8,hnu.edu.cn
497,East China University of Science and Technology,China,73.8,ecust.edu.cn
498,"Open University, UK",United Kingdom,73.8,open.ac.uk
499,University of Wyoming,USA,73.8,uwyo.edu
500,Lehigh University,USA,73.8,lehigh.edu
501,National Central University,Taiwan,73.7,ncu.edu.tw
502,Tilburg University,Netherlands,73.7,tilburguniversity.edu
503,University of Science and Technology Beijing,China,73.7,ustb.edu.cn
504,University of Surrey,United Kingdom,73.7,surrey.ac.uk
505,Tokyo Medical and Dental University,Japan,73.7,tmd.ac.jp
506,Paris Dauphine University,France,73.7,dauphine.fr
507,University of Potsdam,Germany,73.7,uni-potsdam.de
508,Brigham Young University,USA,73.7,byu.edu
509,University of Palermo,Italy,73.7,unipa.it
510,Chang Gung University,Taiwan,73.6,cgu.edu.tw
511,University of Catania,Italy,73.6,unict.it
512,Boston College,USA,73.6,bc.edu
513,University of Nantes,France,73.6,univ-nantes.fr
514,University of Tampere,Finland,73.6,uta.fi
515,Beijing Institute of Technology,China,73.6,bit.edu.cn
516,University of Poitiers,France,73.6,univ-poitiers.fr
517,Utah State University,USA,73.6,usu.edu
518,NUI Galway,Ireland,73.6,nuigalway.ie
519,Tata Institute of Fundamental Research,India,73.6,tifr.res.in
520,University of Burgundy,France,73.5,u-bourgogne.fr
521,National Chung Hsing University,Taiwan,73.5,nchu.edu.tw
522,University of Minho,Portugal,73.5,uminho.pt
523,University of Hull,United Kingdom,73.5,hull.ac.uk
524,"St George's, University of London",United Kingdom,73.5,sgul.ac.uk
525,Hacettepe University,Turkey,73.5,hacettepe.edu.tr
526,Loyola University Chicago,USA,73.5,luc.edu
527,Oklahoma State University,USA,73.5,okstate.edu
528,Colorado School of Mines,USA,73.5,mines.edu
529,Swansea University,United Kingdom,73.4,swansea.ac.uk
530,National Polytechnic Institute of Toulouse,France,73.4,inp-toulouse.fr
531,Massey University,New Zealand,73.4,massey.ac.nz
532,Florida International University,USA,73.4,fiu.edu
533,East China Normal University,China,73.4,ecnu.edu.cn
534,La Trobe University,Australia,73.4,latrobe.edu.au
535,Chongqing University,China,73.4,cqu.edu.cn
536,Shanghai University,China,73.4,shu.edu.cn
537,University of Plymouth,United Kingdom,73.4,plymouth.ac.uk
538,Ewha Womans University,South Korea,73.4,ewha.ac.kr
539,Technical University of Dortmund,Germany,73.3,tu-dortmund.de
540,"Royal Holloway, University of London",United Kingdom,73.3,royalholloway.ac.uk
541,Saint Petersburg State University,Russia,73.3,spbu.ru
542,Bielefeld University,Germany,73.3,uni-bielefeld.de
543,Northwestern Polytechnical University,China,73.3,nwpu.edu.cn
544,Konkuk University,South Korea,73.3,konkuk.ac.kr
545,National University of La Plata,Argentina,73.3,unlp.edu.ar
546,Auburn University,USA,73.3,auburn.edu
547,Tehran University of Medical Sciences,Iran,73.3,tums.ac.ir
548,"China Medical University, Taiwan",Taiwan,73.3,cmu.edu.tw
549,Nanjing Agricultural University,China,73.2,njau.edu.cn
550,"University of Maine, Orono",USA,73.2,umaine.edu
551,University of Aveiro,Portugal,73.2,ua.pt
552,Catholic University of Korea,South Korea,73.2,catholic.ac.kr
553,University of Salamanca,Spain,73.2,usal.es
554,Second Military Medical University,China,73.2,smmu.edu.cn
555,Syracuse University,USA,73.2,syracuse.edu
556,Moscow Institute of Physics and Technology,Russia,73.2,mipt.ru
557,Carleton University,Canada,73.2,carleton.ca
558,University of Texas at Arlington,USA,73.2,uta.edu
559,National Polytechnic Institute,Mexico,73.1,ipn.mx
560,Istanbul University,Turkey,73.1,istanbul.edu.tr
561,Kanazawa University,Japan,73.1,kanazawa-u.ac.jp
562,University of Technology Sydney,Australia,73.1,uts.edu.au
563,University of Alaska Fairbanks,USA,73.1,uaf.edu
564,Western Sydney University,Australia,73.1,westernsydney.edu.au
565,"Birkbeck, University of London",United Kingdom,73.1,bbk.ac.uk
566,"University of Science, Malaysia",Malaysia,73.1,usm.my
567,University of Arkansas - Fayetteville,USA,73.1,uark.edu
568,Baylor University,USA,73.1,baylor.edu
569,University of Oklahoma Health Sciences Center,USA,73.0,ouhsc.edu
570,University of South Australia,Australia,73.0,unisa.edu.au
571,Masaryk University,Czech Republic,73.0,muni.cz
572,University of Wisconsin–Milwaukee,USA,73.0,uwm.edu
573,Polytechnic University of Madrid,Spain,73.0,upm.es
574,University of Rostock,Germany,73.0,uni-rostock.de
575,Victoria University of Wellington,New Zealand,73.0,victoria.ac.nz
576,Warsaw University of Technology,Poland,73.0,pw.edu.pl
577,Nanjing Medical University,China,73.0,njmu.edu.cn
578,Montana State University - Bozeman,USA,73.0,montana.edu
579,Memorial University of Newfoundland,Canada,73.0,mun.ca
580,Chonbuk National University,South Korea,72.9,jbnu.ac.kr
581,Tokyo Metropolitan University,Japan,72.9,tmu.ac.jp
582,College of William & Mary,USA,72.9,wm.edu
583,Braunschweig University of Technology,Germany,72.9,tu-braunschweig.de
584,University of Québec at Montreal,Canada,72.9,uqam.ca
585,CINVESTAV,Mexico,72.9,cinvestav.mx
586,CentraleSupélec,France,72.9,centralesupelec.fr
587,Nanjing University of Science and Technology,China,72.9,njust.edu.cn
588,Huazhong Agricultural University,China,72.9,hzau.edu.cn
589,HEC Paris,France,72.9,hec.edu
590,Zhengzhou University,China,72.8,zzu.edu.cn
591,SUNY Downstate Medical Center,USA,72.8,downstate.edu
592,Sharif University of Technology,Iran,72.8,sharif.ir
593,National Sun Yat-sen University,Taiwan,72.8,nsysu.edu.tw
594,University of Clermont Auvergne,France,72.8,uca.fr
595,Novosibirsk State University,Russia,72.8,nsu.ru
596,Middle East Technical University,Turkey,72.8,metu.edu.tr
597,Yokohama City University,Japan,72.8,yokohama-cu.ac.jp
598,Beijing University of Chemical Technology,China,72.8,buct.edu.cn
599,"University of Nevada, Reno",USA,72.8,unr.edu
600,Otto von Guericke University Magdeburg,Germany,72.8,ovgu.de
601,Kitasato University,Japan,72.7,kitasato-u.ac.jp
602,University of Montana - Missoula,USA,72.7,umt.edu
603,University of Jyväskylä,Finland,72.7,jyu.fi
604,University of Arkansas for Medical Sciences,USA,72.7,uams.edu
605,University of Crete,Greece,72.7,uoc.gr
606,University of Lübeck,Germany,72.7,uni-luebeck.de
607,Chungnam National University,South Korea,72.7,cnu.ac.kr
608,Chung-Ang University,South Korea,72.7,cau.ac.kr
609,Inha University,South Korea,72.7,inha.ac.kr
610,Palacký University Olomouc,Czech Republic,72.7,upol.cz
611,University of Salerno,Italy,72.7,unisa.it
612,Loughborough University,United Kingdom,72.6,lboro.ac.uk
613,Medical University of Graz,Austria,72.6,medunigraz.at
614,Polytechnic University of Turin,Italy,72.6,polito.it
615,Indian Institute of Technology Bombay,India,72.6,iitb.ac.in
616,Ege University,Turkey,72.6,ege.edu.tr
617,Shinshu University,Japan,72.6,shinshu-u.ac.jp
618,Niigata University,Japan,72.6,niigata-u.ac.jp
619,University of Kent,United Kingdom,72.6,kent.ac.uk
620,University of Haifa,Israel,72.6,haifa.ac.il
621,University of Cantabria,Spain,72.6,unican.es
622,University of Cagliari,Italy,72.6,unica.it
623,University of Tennessee Health Science Center,USA,72.5,uthsc.edu
624,Kangwon National University,South Korea,72.5,kangwon.ac.kr
625,Ankara University,Turkey,72.5,ankara.edu.tr
626,Southern Medical University,China,72.5,smu.edu.cn
627,National Technical University of Athens,Greece,72.5,ntua.gr
628,Kumamoto University,Japan,72.5,kumamoto-u.ac.jp
629,Nagasaki University,Japan,72.5,nagasaki-u.ac.jp
630,University of Udine,Italy,72.5,uniud.it
631,University of Greifswald,Germany,72.5,uni-greifswald.de
632,Fourth Military Medical University,China,72.5,fmmu.edu.cn
633,AGH University of Science and Technology,Poland,72.5,agh.edu.pl
634,RMIT University,Australia,72.4,rmit.edu.au
635,China University of Petroleum,China,72.4,cup.edu.cn & upc.edu.cn
636,Nanjing University of Aeronautics and Astronautics,China,72.4,nuaa.edu.cn
637,École nationale d'administration,France,72.4,ena.fr
638,Mississippi State University,USA,72.4,msstate.edu
639,"University of Maryland, Baltimore County",USA,72.4,umbc.edu
640,University of Murcia,Spain,72.4,um.es
641,Augusta University,USA,72.4,augusta.edu
642,Isfahan University of Technology,Iran,72.4,iut.ac.ir
643,Swinburne University of Technology,Australia,72.4,swinburne.edu.au
644,Stockholm School of Economics,Sweden,72.4,hhs.se
645,Northwest A&F University,China,72.3,nwsuaf.edu.cn
646,Wuhan University of Technology,China,72.3,whut.edu.cn
647,University of Graz,Austria,72.3,uni-graz.at
648,Istanbul Technical University,Turkey,72.3,itu.edu.tr
649,University of Texas at San Antonio,USA,72.3,utsa.edu
650,International School for Advanced Studies,Italy,72.3,sissa.it
651,Indian Institute of Technology Madras,India,72.3,iitm.ac.in
652,ESPCI Paris,France,72.3,espci.fr
653,University of Navarra,Spain,72.3,unav.edu
654,Taipei Medical University,Taiwan,72.3,tmu.edu.tw
655,Kaohsiung Medical University,Taiwan,72.3,kmu.edu.tw
656,École normale supérieure Paris-Saclay,France,72.3,ens-cachan.fr
657,Southwest University,China,72.2,swu.edu.cn
658,Semmelweis University,Hungary,72.2,semmelweis.hu
659,Rio de Janeiro State University,Brazil,72.2,uerj.br
660,Gwangju Institute of Science and Technology,South Korea,72.2,gist.ac.kr
661,University of Calabria,Italy,72.2,unical.it
662,"University of Córdoba, Spain",Spain,72.2,uco.es
663,University of Campania Luigi Vanvitelli,Italy,72.2,unina2.it
664,Rovira i Virgili University,Spain,72.2,urv.cat
665,University of Idaho,USA,72.2,uidaho.edu
666,University of Louisiana at Lafayette,USA,72.2,louisiana.edu
667,Czech Technical University in Prague,Czech Republic,72.2,cvut.cz
668,University of Franche-Comté,France,72.1,univ-fcomte.fr
669,Rutgers University–Newark,USA,72.1,newark.rutgers.edu
670,University of Patras,Greece,72.1,upatras.gr
671,Indian Institute of Technology Delhi,India,72.1,iitd.ac.in
672,Fuzhou University,China,72.1,fzu.edu.cn
673,Comenius University in Bratislava,Slovak Republic,72.1,uniba.sk
674,Brunel University London,United Kingdom,72.1,brunel.ac.uk
675,Osaka City University,Japan,72.1,osaka-cu.ac.jp
676,Indian Institute of Technology Kharagpur,India,72.1,iitkgp.ac.in
677,University of Akron,USA,72.1,uakron.edu
678,Kindai University,Japan,72.1,kindai.ac.jp
679,Gazi University,Turkey,72.1,gazi.edu.tr
680,Jiangnan University,China,72.0,jiangnan.edu.cn
681,University of Rhode Island,USA,72.0,uri.edu
682,"University of North Texas, Denton",USA,72.0,unt.edu
683,University of Málaga,Spain,72.0,uma.es
684,INSA Lyon,France,72.0,insa-lyon.fr
685,Shenzhen University,China,72.0,szu.edu.cn
686,University of Eastern Piedmont,Italy,72.0,uniupo.it
687,Kent State University,USA,72.0,kent.edu
688,Army Medical University,China,72.0,tmmu.edu.cn
689,Amirkabir University of Technology,Iran,72.0,aut.ac.ir
690,Gyeongsang National University,South Korea,72.0,gnu.ac.kr
691,Jinan University,China,72.0,jnu.edu.cn
692,"Northwest University, China",China,71.9,nwu.edu.cn
693,Central China Normal University,China,71.9,ccnu.edu.cn
694,Federal University of Santa Catarina,Brazil,71.9,ufsc.br
695,Liverpool John Moores University,United Kingdom,71.9,ljmu.ac.uk
696,University of Debrecen,Hungary,71.9,unideb.hu
697,Ocean University of China,China,71.9,ouc.edu.cn
698,Nihon University,Japan,71.9,nihon-u.ac.jp
699,Roma Tre University,Italy,71.9,uniroma3.it
700,Ajou University,South Korea,71.9,ajou.ac.kr
701,Juntendo University,Japan,71.9,juntendo.ac.jp
702,Tianjin Medical University,China,71.9,tijmu.edu.cn
703,University of Brescia,Italy,71.9,unibs.it
704,University of Castilla-La Mancha,Spain,71.8,uclm.es
705,Donghua University,China,71.8,dhu.edu.cn
706,City College of New York,USA,71.8,ccny.cuny.edu
707,"Northeastern University, China",China,71.8,neu.edu.cn
708,University of Girona,Spain,71.8,udg.edu
709,Federal University of Paraná,Brazil,71.8,ufpr.br
710,University of Portsmouth,United Kingdom,71.8,port.ac.uk
711,University of Fribourg,Switzerland,71.8,unifr.ch
712,University of Ioannina,Greece,71.8,uoi.gr
713,Norwegian University of Life Sciences,Norway,71.8,nmbu.no
714,Keele University,United Kingdom,71.8,keele.ac.uk
715,Ain Shams University,Egypt,71.8,asu.edu.eg
716,"Paul Valéry University, Montpellier III",France,71.8,univ-montp3.fr
717,Carl von Ossietzky University of Oldenburg,Germany,71.7,uni-oldenburg.de
718,Graz University of Technology,Austria,71.7,tugraz.at
719,Concordia University,Canada,71.7,concordia.ca
720,Graduate University for Advanced Studies,Japan,71.7,soken.ac.jp
721,Nanjing Tech University,China,71.7,njtech.edu.cn
722,Xidian University,China,71.7,xidian.edu.cn
723,Tokyo University of Science,Japan,71.7,tus.ac.jp
724,Jiangsu University,China,71.7,ujs.edu.cn
725,"University of the Republic, Uruguay",Uruguay,71.7,universidad.edu.uy
726,University of Delhi,India,71.7,du.ac.in
727,Northern Illinois University,USA,71.7,niu.edu
728,University of Angers,France,71.7,univ-angers.fr
729,University of Missouri–Kansas City,USA,71.6,umkc.edu
730,Örebro University,Sweden,71.6,oru.se
731,University of Vigo,Spain,71.6,uvigo.gal
732,"All India Institute of Medical Sciences, Delhi",India,71.6,aiims.edu
733,National Research Nuclear University MEPhI,Russia,71.6,mephi.ru
734,University of Salento,Italy,71.6,unisalento.it
735,South China Normal University,China,71.6,scnu.edu.cn
736,École pratique des hautes études,France,71.6,ephe.fr
737,University of Brasília,Brazil,71.6,unb.br
738,Bangor University,United Kingdom,71.6,bangor.ac.uk
739,Federal University of Viçosa,Brazil,71.6,ufv.br
740,Boğaziçi University,Turkey,71.6,boun.edu.tr
741,Adam Mickiewicz University in Poznań,Poland,71.6,amu.edu.pl
742,"Putra University, Malaysia",Malaysia,71.5,upm.edu.my
743,Southern Illinois University Carbondale,USA,71.5,siu.edu
744,Hong Kong Baptist University,Hong Kong,71.5,hkbu.edu.hk
745,Nanjing Normal University,China,71.5,njnu.edu.cn
746,"University of Nevada, Las Vegas",USA,71.5,unlv.edu
747,Ehime University,Japan,71.5,ehime-u.ac.jp
748,Vilnius University,Lithuania,71.5,vu.lt
749,University of Messina,Italy,71.5,unime.it
750,Illinois Institute of Technology,USA,71.5,iit.edu
751,Miami University,USA,71.5,miamioh.edu
752,University Paris-Est Créteil,France,71.5,u-pec.fr
753,"University of Natural Resources and Life Sciences, Vienna",Austria,71.5,boku.ac.at
754,National University of Defense Technology,China,71.5,nudt.edu.cn
755,Jean Monnet University,France,71.4,univ-st-etienne.fr
756,Tarbiat Modares University,Iran,71.4,modares.ac.ir
757,Old Dominion University,USA,71.4,odu.edu
758,University of Szeged,Hungary,71.4,u-szeged.hu
759,University of Texas Rio Grande Valley,USA,71.4,utrgv.edu
760,Iran University of Science and Technology,Iran,71.4,iust.ac.ir
761,Jadavpur University,India,71.4,jaduniv.edu.in
762,National University of Córdoba,Argentina,71.4,unc.edu.ar
763,Harbin Medical University,China,71.4,hrbmu.edu.cn
764,Heriot-Watt University,United Kingdom,71.4,hw.ac.uk
765,University of Toledo,USA,71.4,utoledo.edu
766,National University of Colombia,Colombia,71.4,unal.edu.co
767,University of Alicante,Spain,71.4,ua.es
768,University of Essex,United Kingdom,71.3,essex.ac.uk
769,University of L'Aquila,Italy,71.3,univaq.it
770,New Mexico State University,USA,71.3,nmsu.edu
771,Makerere University,Uganda,71.3,mak.ac.ug
772,University of Split,Croatia,71.3,unist.hr
773,University of North Carolina at Charlotte,USA,71.3,uncc.edu
774,Banaras Hindu University,India,71.3,bhu.ac.in
775,Ulsan National Institute of Science and Technology,South Korea,71.3,unist.ac.kr
776,University of Wrocław,Poland,71.3,uni.wroc.pl
777,University of Stirling,United Kingdom,71.3,stir.ac.uk
778,Nanchang University,China,71.3,ncu.edu.cn
779,University of Hohenheim,Germany,71.3,uni-hohenheim.de
780,École des ponts ParisTech,France,71.3,enpc.fr
781,Jawaharlal Nehru Centre for Advanced Scientific Research,India,71.2,jncasr.ac.in
782,University of Kaiserslautern,Germany,71.2,uni-kl.de
783,American University of Beirut,Lebanon,71.2,aub.edu.lb
784,King Fahd University of Petroleum and Minerals,Saudi Arabia,71.2,kfupm.edu.sa
785,"China Medical University, PRC",China,71.2,cmu.edu.cn
786,Paris 13 University,France,71.2,univ-paris13.fr
787,Tampere University of Technology,Finland,71.2,tut.fi
788,Tokyo University of Agriculture and Technology,Japan,71.2,tuat.ac.jp
789,Bilkent University,Turkey,71.2,bilkent.edu.tr
790,University of Johannesburg,South Africa,71.2,uj.ac.za
791,University of Concepción,Chile,71.2,udec.cl
792,China University of Mining and Technology,China,71.2,cumt.edu.cn
793,Chiang Mai University,Thailand,71.2,cmu.ac.th
794,Yeungnam University,South Korea,71.2,yu.ac.kr
795,Marche Polytechnic University,Italy,71.1,univpm.it
796,National Taiwan University of Science and Technology,Taiwan,71.1,ntust.edu.tw
797,Tokushima University,Japan,71.1,tokushima-u.ac.jp
798,Indian Institute of Technology Kanpur,India,71.1,iitk.ac.in
799,Quaid-i-Azam University,Pakistan,71.1,qau.edu.pk
800,Northeast Normal University,China,71.1,nenu.edu.cn
801,Ryerson University,Canada,71.1,ryerson.ca
802,Babeș-Bolyai University,Romania,71.1,ubbcluj.ro
803,Ohio University,USA,71.1,ohio.edu
804,Wenzhou Medical University,China,71.1,wmu.edu.cn
805,University of Tours,France,71.1,univ-tours.fr
806,"University of the Andes, Colombia",Colombia,71.1,uniandes.edu.co
807,Panjab University,India,71.1,puchd.ac.in
808,University of Alcalá,Spain,71.0,uah.es
809,University of Hertfordshire,United Kingdom,71.0,herts.ac.uk
810,Dankook University,South Korea,71.0,dankook.ac.kr
811,Chungbuk National University,South Korea,71.0,cbnu.ac.kr
812,University of Sassari,Italy,71.0,uniss.it
813,Toho University,Japan,71.0,toho-u.ac.jp
814,Federal University of Ceará,Brazil,71.0,ufc.br
815,Portland State University,USA,71.0,pdx.edu
816,Gunma University,Japan,71.0,gunma-u.ac.jp
817,Polytechnic University of Bucharest,Romania,71.0,upb.ro
818,Yokohama National University,Japan,71.0,ynu.ac.jp
819,Zhejiang University of Technology,China,71.0,zjut.edu.cn
820,University of the Balearic Islands,Spain,71.0,uib.eu
821,Cranfield University,United Kingdom,71.0,cranfield.ac.uk
822,Polytechnic University of Bari,Italy,70.9,poliba.it
823,Budapest University of Technology and Economics,Hungary,70.9,bme.hu
824,South China Agricultural University,China,70.9,scau.edu.cn
825,University of Orléans,France,70.9,univ-orleans.fr
826,"National University of Malaysia, UKM",Malaysia,70.9,ukm.my
827,University of Bucharest,Romania,70.9,unibuc.ro
828,Carlos III University of Madrid,Spain,70.9,uc3m.es
829,Uniformed Services University of the Health Sciences,USA,70.9,usuhs.edu
830,University of Denver,USA,70.9,du.edu
831,Beijing University of Technology,China,70.9,bjut.edu.cn
832,University of Insubria,Italy,70.9,uninsubria.it
833,Sejong University,South Korea,70.9,sejong.ac.kr
834,Medical University of Warsaw,Poland,70.9,wum.edu.pl
835,East Carolina University,USA,70.9,ecu.edu
836,Beijing Jiaotong University,China,70.8,njtu.edu.cn
837,China Europe International Business School,China,70.8,ceibs.edu
838,Tokyo Women's Medical University,Japan,70.8,twmu.ac.jp
839,University of Wuppertal,Germany,70.8,uni-wuppertal.de
840,Federal University of Pernambuco,Brazil,70.8,ufpe.br
841,University of Hyogo,Japan,70.8,u-hyogo.ac.jp
842,University of Regina,Canada,70.8,uregina.ca
843,Binghamton University,USA,70.8,binghamton.edu
844,Wrocław University of Science and Technology,Poland,70.8,pwr.edu.pl
845,University of Toyama,Japan,70.8,u-toyama.ac.jp
846,National Taiwan Normal University,Taiwan,70.8,ntnu.edu.tw
847,Federal University of São Carlos,Brazil,70.8,ufscar.br
848,Metropolitan Autonomous University,Mexico,70.8,uam.mx
849,University of Western Brittany,France,70.8,univ-brest.fr
850,Tokai University,Japan,70.7,u-tokai.ac.jp
851,Harbin Engineering University,China,70.7,hrbeu.edu.cn
