World Rank,Institution Name,Location,Score,Domain
967,National Taiwan Ocean University,Taiwan,70.0,ntou.edu.tw
968,INSA Toulouse,France,70.0,insa-toulouse.fr
969,University of Antioquia,Colombia,70.0,udea.edu.co
970,Shantou University,China,70.0,stu.edu.cn
971,Chung Yuan Christian University,Taiwan,69.9,cycu.edu.tw
972,Guangzhou Medical University,China,69.9,gzhmu.edu.cn
973,Amherst College,USA,69.9,amherst.edu
974,Yunnan University,China,69.9,ynu.edu.cn
975,Johannes Kepler University Linz,Austria,69.9,jku.at
976,New York Medical College,USA,69.9,nymc.edu
977,Missouri University of Science and Technology,USA,69.9,mst.edu
978,University of Maribor,Slovenia,69.9,um.si
979,Atatürk University,Turkey,69.9,atauni.edu.tr
980,Eastern Virginia Medical School,USA,69.9,evms.edu
981,University of North Carolina at Greensboro,USA,69.9,uncg.edu
982,Beijing Forestry University,China,69.9,bjfu.edu.cn
983,Liverpool School of Tropical Medicine,United Kingdom,69.9,lstmed.ac.uk
984,University of Brighton,United Kingdom,69.9,brighton.ac.uk
985,Federal University of Bahia,Brazil,69.9,ufba.br
986,University of St. Gallen,Switzerland,69.9,unisg.ch
987,Xiangtan University,China,69.8,xtu.edu.cn
988,Manchester Metropolitan University,United Kingdom,69.8,mmu.ac.uk
989,University of A Coruña,Spain,69.8,udc.es
990,Khon Kaen University,Thailand,69.8,kku.ac.th
991,University of Ibadan,Nigeria,69.8,ui.edu.ng
992,Shahid Beheshti University,Iran,69.8,sbu.ac.ir
993,University of Massachusetts Lowell,USA,69.8,uml.edu
994,Loma Linda University,USA,69.8,llu.edu
995,University of Macau,Macau,69.8,umac.mo
996,Aga Khan University,Pakistan,69.8,aku.edu
997,University of Calcutta,India,69.8,caluniv.ac.in
998,Kōchi University,Japan,69.8,kochi-u.ac.jp
999,Soonchunhyang University,South Korea,69.8,sch.ac.kr
1000,Capital Normal University,China,69.8,cnu.edu.cn
